#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   113    0.30994E+04   -0.31113E+02    0.29083E-05   -0.31113E+02    0.90802E+00   -0.44204E-08    0.29083E-05   -0.44204E-08    0.68036E-11
   114    0.31326E+04   -0.31714E+02    0.28493E-05   -0.31714E+02    0.91881E+00   -0.43041E-08    0.28493E-05   -0.43041E-08    0.66418E-11
   115    0.31661E+04   -0.32308E+02    0.27917E-05   -0.32308E+02    0.92939E+00   -0.42506E-08    0.27917E-05   -0.42506E-08    0.64847E-11
   116    0.31996E+04   -0.32894E+02    0.27355E-05   -0.32894E+02    0.93951E+00   -0.42534E-08    0.27355E-05   -0.42534E-08    0.63323E-11
   117    0.32333E+04   -0.33472E+02    0.26808E-05   -0.33472E+02    0.94928E+00   -0.43063E-08    0.26808E-05   -0.43063E-08    0.61843E-11
   118    0.32672E+04   -0.34041E+02    0.26274E-05   -0.34041E+02    0.95882E+00   -0.44030E-08    0.26274E-05   -0.44030E-08    0.60407E-11
   119    0.33011E+04   -0.34601E+02    0.25754E-05   -0.34601E+02    0.96799E+00   -0.45370E-08    0.25754E-05   -0.45370E-08    0.59014E-11
   120    0.33351E+04   -0.35151E+02    0.25248E-05   -0.35151E+02    0.97665E+00   -0.47022E-08    0.25248E-05   -0.47022E-08    0.57661E-11
   121    0.33692E+04   -0.35691E+02    0.24754E-05   -0.35691E+02    0.98509E+00   -0.48922E-08    0.24754E-05   -0.48922E-08    0.56348E-11
   122    0.34032E+04   -0.36220E+02    0.24273E-05   -0.36220E+02    0.99302E+00   -0.51007E-08    0.24273E-05   -0.51007E-08    0.55073E-11
   123    0.34374E+04   -0.36738E+02    0.23805E-05   -0.36738E+02    0.10005E+01   -0.53214E-08    0.23805E-05   -0.53214E-08    0.53836E-11
   124    0.34715E+04   -0.37242E+02    0.23348E-05   -0.37242E+02    0.10076E+01   -0.55480E-08    0.23348E-05   -0.55480E-08    0.52634E-11
   125    0.35057E+04   -0.37734E+02    0.22904E-05   -0.37734E+02    0.10143E+01   -0.57741E-08    0.22904E-05   -0.57741E-08    0.51467E-11
   126    0.35399E+04   -0.38215E+02    0.22471E-05   -0.38215E+02    0.10206E+01   -0.59935E-08    0.22471E-05   -0.59935E-08    0.50333E-11
   127    0.35741E+04   -0.38682E+02    0.22050E-05   -0.38682E+02    0.10264E+01   -0.61998E-08    0.22050E-05   -0.61998E-08    0.49231E-11
   128    0.36083E+04   -0.39135E+02    0.21639E-05   -0.39135E+02    0.10318E+01   -0.63868E-08    0.21639E-05   -0.63868E-08    0.48160E-11
   129    0.36425E+04   -0.39573E+02    0.21240E-05   -0.39573E+02    0.10368E+01   -0.65481E-08    0.21240E-05   -0.65481E-08    0.47119E-11
   130    0.36767E+04   -0.39996E+02    0.20851E-05   -0.39996E+02    0.10412E+01   -0.66774E-08    0.20851E-05   -0.66774E-08    0.46105E-11
   131    0.37109E+04   -0.40405E+02    0.20472E-05   -0.40405E+02    0.10452E+01   -0.67699E-08    0.20472E-05   -0.67699E-08    0.45118E-11
   132    0.37451E+04   -0.40798E+02    0.20103E-05   -0.40798E+02    0.10487E+01   -0.68267E-08    0.20103E-05   -0.68267E-08    0.44158E-11
   133    0.37792E+04   -0.41175E+02    0.19743E-05   -0.41175E+02    0.10518E+01   -0.68507E-08    0.19743E-05   -0.68507E-08    0.43223E-11
   134    0.38133E+04   -0.41534E+02    0.19393E-05   -0.41534E+02    0.10545E+01   -0.68443E-08    0.19393E-05   -0.68443E-08    0.42313E-11
   135    0.38473E+04   -0.41876E+02    0.19052E-05   -0.41876E+02    0.10566E+01   -0.68104E-08    0.19052E-05   -0.68104E-08    0.41427E-11
